,coef,std_err,ci_lower,ci_upper,p_value,odds_ratio,or_ci_lower,or_ci_upper
age,1.6418455125158715,0.1432129767456033,1.3611532359757168,1.9225377890560262,1.9922064551622107e-30,5.164692226532363,3.9006891239528487,6.838290606397541
Intercept,-3.884378462913376,0.3578154703130414,-4.585683897838198,-3.183073027988554,1.871304388159407e-27,0.020560603968776636,0.010196773851013391,0.04145805739516918
avg_glucose_level,0.1849422671948849,0.0589494199593962,0.06940352716494175,0.30048100722482807,0.0017050907474259645,1.2031489769571517,1.071868650009189,1.3505082555970183
hypertension,0.5147539186947744,0.18048295515924004,0.16101382675930637,0.8684940106302423,0.004343258419294471,1.6732267013208089,1.1747012110124844,2.383318896555697
work_type_Never_worked,2.3583784080040195,1.4842398675088158,-0.5506782767317611,5.267435092739801,0.1120723705393081,10.573791167579314,0.5765586114342809,193.91794249234363
ever_married_Yes,-0.27560521024407136,0.24503872223818896,-0.7558722806486358,0.20466186016049304,0.2606986073180826,0.7591125614746486,0.4696008123239936,1.2271100600035296
work_type_Self-employed,-0.24080387403516712,0.2498533299559725,-0.7305074021662759,0.2488996540959416,0.3351557708248303,0.7859957654503689,0.4816645304496033,1.2826133216187707
heart_disease,0.1569875400894853,0.21095575615118592,-0.2564781442982531,0.5704532244772237,0.45677192872891303,1.1699810359510818,0.7737719057026604,1.7690686549831662
smoking_status_never smoked,-0.15958202568873672,0.21604716583307987,-0.5830266896835258,0.2638626383060523,0.46012296562005817,0.8525000376257094,0.5582062899426627,1.3019493460499811
smoking_status_smokes,0.1862067011777882,0.2539235520452825,-0.3114743156574475,0.6838877180130238,0.4633645234657998,1.2046712416088745,0.7323664206138266,1.981566548536085
residence_type_Urban,0.10231465912773234,0.15166076174512652,-0.19493497176062563,0.39956429001609034,0.49991187604882636,1.1077319748721848,0.8228881672849147,1.4911748363120807
work_type_children,0.5600285177246886,0.9425614161506732,-1.287357911147701,2.407414946597078,0.5524077808223553,1.7507224262043677,0.2759990345860594,11.10521643023791
gender_Male,0.0474550233165063,0.15557074195108567,-0.2574580279557961,0.3523680745888087,0.7603370378430292,1.048599037553639,0.7730140706133437,1.4224319884448908
smoking_status_formerly smoked,0.06231372303506152,0.22744459832233146,-0.3834694981548874,0.5080969442250104,0.7841052219284352,1.0642961865882157,0.6814928645215418,1.6621250665353264
bmi,0.012132682794052626,0.09502382922479823,-0.17411060015963653,0.1983759657477418,0.8984018827591492,1.0122065823541684,0.8402039658266408,1.2194207680906182
work_type_Private,0.019860209497636266,0.22217958297123028,-0.41560377122610376,0.4553241902213763,0.9287734850255779,1.0200587355365303,0.659941706579958,1.5766844458682752
